,First_pokemon,Second_pokemon,Winner
0,246,274,274
1,640,639,639
2,176,606,606
3,218,621,621
4,139,213,139
5,595,681,595
6,177,124,124
7,66,487,487
8,204,692,692
9,278,25,25
10,396,120,120
11,639,562,639
12,11,260,260
13,139,80,139
14,248,414,248
15,692,402,402
16,131,243,243
17,333,221,221
18,448,703,448
19,503,518,503
20,394,625,625
21,340,395,395
22,592,609,609
23,112,323,112
24,548,587,587
25,249,644,249
26,413,508,508
27,564,696,696
28,128,405,128
29,632,678,632
30,409,490,490
31,166,277,277
32,192,169,169
33,479,333,479
34,240,348,348
35,423,248,248
36,559,263,263
37,370,124,370
38,531,452,452
39,504,223,223
40,519,223,223
41,184,650,184
42,343,125,343
43,69,395,395
44,605,583,583
45,427,364,427
46,3,668,668
47,389,39,389
48,213,134,134
49,459,647,647
50,410,240,240
51,150,681,681
52,383,683,383
53,238,708,238
54,328,192,192
55,654,584,584
56,351,479,479
57,665,611,611
58,130,652,130
59,225,672,225
60,458,201,458
61,571,38,571
62,534,650,534
63,545,34,545
64,335,537,335
65,677,524,677
66,319,172,319
67,279,182,279
68,154,639,639
69,509,106,106
70,213,157,157
71,65,394,65
72,597,549,549
73,510,497,497
74,405,321,405
75,599,87,87
76,482,3,482
77,120,294,120
78,115,380,380
79,284,254,254
80,519,551,551
81,648,73,73
82,433,479,479
83,343,31,31
84,5,302,302
85,313,146,146
86,458,514,514
87,487,477,487
88,437,212,212
89,624,197,197
90,280,353,353
91,462,663,663
92,148,686,148
93,138,245,245
94,390,639,639
95,205,245,245
96,390,542,542
97,223,333,223
98,715,231,715
99,546,271,546
100,393,193,193
101,595,328,595
102,390,34,34
103,300,372,372
104,424,81,424
105,65,706,65
106,41,554,41
107,4,608,4
108,716,289,289
109,180,413,180
110,444,508,444
111,364,311,311
112,57,273,57
113,483,400,483
114,130,140,130
115,48,106,106
116,345,148,148
117,208,291,291
118,286,362,362
119,274,29,274
120,324,122,324
121,94,337,94
122,452,407,452
123,539,537,539
124,399,39,399
125,328,489,489
126,279,123,123
127,45,304,45
128,156,499,156
129,687,119,687
130,5,235,5
131,636,142,142
132,84,442,442
133,348,66,348
134,323,250,250
135,203,43,203
136,667,225,225
137,621,226,226
138,479,406,479
139,184,528,528
140,367,574,367
141,50,501,501
142,48,110,110
143,567,130,567
144,488,708,488
145,347,488,488
146,371,282,282
147,141,499,141
148,282,248,282
149,81,349,81
150,48,26,26
151,157,676,676
152,12,101,101
153,479,665,479
154,256,86,256
155,312,581,581
156,389,150,150
157,576,629,629
158,665,649,649
159,274,710,274
160,36,104,36
161,89,291,89
162,378,362,362
163,434,364,434
164,254,142,142
165,142,413,142
166,284,3,3
167,481,24,24
168,487,246,487
169,260,310,310
170,214,234,234
171,351,384,384
172,148,710,148
173,446,381,446
174,248,146,146
175,425,532,425
176,491,427,491
177,183,711,711
178,352,663,663
179,439,181,439
180,24,527,24
181,30,445,445
182,461,169,169
183,119,97,119
184,5,543,5
185,127,290,127
186,76,458,458
187,525,479,525
188,674,51,51
189,204,654,654
190,693,603,693
191,644,393,644
192,22,487,487
193,18,719,18
194,636,135,135
195,282,573,573
196,145,604,145
197,49,680,680
198,461,393,461
199,698,244,244
200,214,448,448
201,18,561,18
202,89,230,230
203,299,486,486
204,465,7,465
205,526,413,413
206,708,319,319
207,607,209,209
208,561,47,561
209,480,649,649
210,392,223,392
211,471,688,471
212,10,94,94
213,345,140,140
214,429,329,429
215,127,636,127
216,323,670,670
217,214,622,622
218,267,544,267
219,88,244,244
220,661,127,127
221,119,675,119
222,52,500,500
223,596,134,596
224,563,682,563
225,472,21,472
226,717,426,717
227,333,357,357
228,531,525,531
229,460,526,460
230,474,383,383
231,64,410,64
232,482,264,482
233,317,355,317
234,627,118,118
235,195,639,639
236,308,352,308
237,533,73,73
238,711,441,441
239,383,283,383
240,21,662,662
241,413,363,413
242,381,445,381
243,518,697,697
244,57,75,57
245,237,205,237
246,3,138,3
247,487,306,487
248,283,486,486
249,197,396,197
250,515,278,278
251,193,583,193
252,84,697,84
253,107,610,107
254,122,63,63
255,508,361,508
256,582,202,582
257,296,150,150
258,13,150,150
259,647,175,647
260,45,51,45
261,218,402,402
262,520,614,520
263,712,657,657
264,381,649,381
265,76,448,448
266,474,146,146
267,106,50,50
268,326,574,326
269,48,479,479
270,697,164,697
271,86,655,655
272,288,386,386
273,281,231,281
274,248,265,248
275,532,664,664
276,508,385,385
277,266,263,263
278,691,664,691
279,201,92,92
280,606,80,606
281,150,43,150
282,114,700,700
283,241,142,142
284,208,578,578
285,288,94,94
286,97,454,454
287,407,553,553
288,98,42,42
289,653,530,530
290,499,386,386
291,130,658,658
292,441,220,441
293,441,310,310
294,340,118,118
295,3,661,3
296,451,83,451
297,647,95,647
298,711,254,254
299,413,12,12
300,386,131,386
301,655,2,655
302,586,479,586
303,230,325,230
304,142,393,142
305,401,15,15
306,334,338,334
307,308,699,308
308,326,694,326
309,182,101,182
310,140,689,689
311,150,517,150
312,159,584,584
313,392,53,53
314,553,397,553
315,712,117,117
316,453,381,381
317,505,198,198
318,145,573,573
319,353,16,16
320,372,368,368
321,319,394,319
322,373,271,373
323,76,509,509
324,229,374,229
325,158,548,158
326,699,512,512
327,45,425,425
328,406,97,97
329,491,698,491
330,473,671,473
331,416,691,691
332,512,39,512
333,509,672,509
334,178,22,22
335,228,399,228
336,460,257,257
337,389,38,38
338,717,327,717
339,181,687,687
340,422,373,373
341,569,150,150
342,405,713,405
343,195,396,396
344,702,522,702
345,367,53,53
346,365,376,376
347,211,617,617
348,682,181,181
349,518,388,388
350,194,34,34
351,32,648,648
352,14,412,412
353,480,673,480
354,640,565,640
355,367,375,367
356,465,126,126
357,417,81,417
358,454,451,454
359,540,582,582
360,413,77,77
361,489,473,473
362,643,469,469
363,10,56,56
364,659,450,659
365,167,227,227
366,672,108,672
367,23,386,386
368,650,514,514
369,193,428,428
370,443,31,31
371,383,37,383
372,191,260,260
373,679,460,460
374,481,141,141
375,140,146,146
376,669,14,669
377,167,519,519
378,63,278,63
379,439,183,439
380,621,455,621
381,2,557,2
382,666,235,666
383,64,721,64
384,111,61,61
385,669,549,549
386,62,362,362
387,482,647,482
388,169,181,169
389,517,52,52
390,680,23,23
391,357,578,357
392,195,668,195
393,414,632,632
394,308,135,135
395,413,582,582
396,554,590,554
397,711,165,711
398,228,533,533
399,479,651,479
400,660,526,526
401,647,73,647
402,464,671,464
403,394,473,473
404,159,373,373
405,572,383,383
406,232,719,719
407,292,270,292
408,415,713,713
409,699,6,6
410,101,710,101
411,408,421,421
412,222,662,222
413,626,175,626
414,250,16,250
415,669,712,669
416,428,207,428
417,514,260,514
418,559,492,492
419,654,555,654
420,1,617,617
421,534,121,534
422,387,310,310
423,228,406,228
424,15,645,645
425,373,256,373
426,94,130,94
427,31,308,308
428,407,23,407
429,66,104,104
430,341,80,341
431,572,710,710
432,619,713,619
433,166,694,166
434,524,448,448
435,526,530,530
436,663,1,663
437,429,472,429
438,665,15,15
439,572,318,572
440,507,684,507
441,323,75,323
442,379,710,379
443,381,78,381
444,549,199,549
445,319,147,319
446,113,528,528
447,146,70,146
448,362,537,362
449,276,641,641
450,457,269,457
451,692,623,623
452,385,187,385
453,458,183,458
454,97,531,97
455,491,359,491
456,285,42,42
457,73,289,289
458,415,187,415
459,435,6,6
460,638,43,638
461,391,479,479
462,66,436,66
463,565,289,289
464,200,595,200
465,116,555,116
466,570,643,643
467,630,304,630
468,8,284,284
469,434,17,434
470,603,155,155
471,482,308,482
472,33,275,275
473,690,691,691
474,395,1,395
475,388,127,127
476,638,387,638
477,46,346,346
478,145,156,145
479,698,341,698
480,712,628,628
481,359,235,235
482,282,672,282
483,475,443,475
484,196,18,18
485,91,158,91
486,52,233,52
487,209,265,209
488,333,548,333
489,373,479,373
490,585,270,585
491,11,685,685
492,181,703,181
493,245,62,245
494,504,679,679
495,680,229,229
496,130,98,130
497,384,368,384
498,408,278,278
499,298,514,514
500,242,61,61
501,645,388,645
502,267,604,267
503,214,399,214
504,116,445,445
505,232,99,99
506,63,196,196
507,111,312,111
508,208,158,158
509,633,86,86
510,610,323,610
511,373,234,373
512,180,546,546
513,475,302,302
514,117,74,117
515,636,308,308
516,382,642,642
517,386,362,386
518,373,343,373
519,522,383,383
520,469,248,469
521,280,644,644
522,352,443,443
523,500,64,500
524,487,137,137
525,62,330,330
526,610,663,663
527,570,10,570
528,579,311,311
529,333,385,385
530,533,383,383
531,693,476,693
532,362,148,362
533,102,608,608
534,203,669,203
535,372,585,585
536,464,98,98
537,560,667,667
538,196,118,196
539,623,586,586
540,370,381,381
541,450,627,627
542,479,195,479
543,376,520,376
544,67,255,255
545,404,6,6
546,343,181,181
547,268,459,459
548,259,171,259
549,351,637,637
550,271,672,672
551,316,713,316
552,248,172,248
553,39,298,298
554,81,707,707
555,139,219,139
556,703,605,703
557,246,277,277
558,541,342,342
559,25,441,441
560,84,167,84
561,528,356,528
562,428,388,428
563,328,384,384
564,93,16,16
565,247,167,247
566,226,65,65
567,7,13,13
568,101,383,383
569,225,162,162
570,193,417,417
571,707,689,707
572,177,652,177
573,310,101,101
574,495,397,397
575,480,75,480
576,114,388,114
577,536,565,536
578,373,50,373
579,412,277,277
580,59,582,59
581,524,294,294
582,242,194,194
583,107,443,107
584,68,431,431
585,32,278,278
586,680,594,594
587,407,159,407
588,342,458,342
589,714,187,714
590,555,246,555
591,431,483,483
592,383,680,383
593,300,254,254
594,352,144,144
595,304,586,586
596,506,28,28
597,79,451,451
598,198,389,198
599,492,707,492
600,276,323,276
601,392,568,392
602,193,362,193
603,522,604,522
604,46,709,709
605,443,379,379
606,467,521,521
607,8,700,700
608,656,310,310
609,262,288,288
610,72,571,571
611,389,76,389
612,505,49,49
613,288,683,288
614,228,623,228
615,636,199,636
616,69,507,507
617,405,16,405
618,122,425,122
619,449,199,449
620,3,9,3
621,102,173,102
622,33,467,467
623,119,279,119
624,282,33,282
625,681,534,534
626,637,412,637
627,644,410,644
628,94,280,94
629,363,220,220
630,31,9,9
631,448,259,448
632,587,440,587
633,479,174,479
634,135,174,135
635,98,26,26
636,626,319,319
637,499,482,482
638,22,38,38
639,255,153,153
640,261,302,302
641,588,590,588
642,576,359,359
643,333,214,214
644,199,266,199
645,516,213,516
646,307,306,307
647,72,358,72
648,166,35,166
649,126,487,126
650,192,623,623
651,572,431,431
652,432,628,432
653,242,41,41
654,80,53,53
655,575,633,633
656,634,253,253
657,436,93,93
658,435,599,599
659,652,569,569
660,323,237,237
661,436,544,544
662,543,121,121
663,308,479,479
664,274,164,164
665,273,359,359
666,240,326,240
667,386,427,386
668,487,378,487
669,159,208,159
670,59,158,59
671,716,228,716
672,477,391,391
673,142,588,142
674,565,138,138
675,41,306,306
676,134,598,598
677,318,96,318
678,541,659,659
679,471,413,471
680,317,474,474
681,519,340,519
682,2,198,198
683,7,535,535
684,478,691,478
685,281,364,281
686,145,238,145
687,475,32,475
688,48,539,539
689,383,659,383
690,214,306,214
691,149,105,149
692,53,109,53
693,570,673,673
694,439,644,644
695,165,628,628
696,119,382,382
697,149,393,149
698,531,247,247
699,658,203,658
700,643,693,643
701,479,473,479
702,5,41,5
703,381,208,381
704,641,663,663
705,674,229,229
706,702,408,702
707,262,618,262
708,483,278,483
709,194,624,624
710,452,56,452
711,382,665,382
712,257,472,257
713,107,619,107
714,333,618,618
715,303,602,602
716,414,415,415
717,223,300,223
718,121,310,310
719,215,605,215
720,249,701,701
721,184,359,359
722,166,320,166
723,487,319,319
724,603,33,33
725,427,366,427
726,350,653,350
727,365,520,520
728,114,548,114
729,451,114,451
730,90,479,479
731,505,648,648
732,460,92,460
733,221,85,85
734,584,420,584
735,81,422,81
736,392,260,392
737,115,25,115
738,510,206,510
739,319,460,460
740,581,36,581
741,500,291,291
742,647,313,647
743,116,560,116
744,256,169,169
745,543,120,120
746,498,513,513
747,374,204,374
748,122,166,122
749,531,678,678
750,645,240,645
751,463,537,537
752,516,477,516
753,460,189,460
754,248,412,248
755,571,104,571
756,335,93,93
757,338,55,55
758,229,310,310
759,236,24,24
760,629,532,629
761,109,319,319
762,200,24,200
763,482,487,482
764,602,9,9
765,268,46,46
766,111,236,236
767,163,410,163
768,136,313,313
769,631,62,62
770,488,650,488
771,85,669,85
772,602,362,362
773,317,529,529
774,206,508,508
775,319,383,319
776,151,499,151
777,44,282,282
778,329,648,648
779,209,458,209
780,2,533,2
781,44,124,124
782,413,102,102
783,605,88,605
784,240,199,199
785,347,632,632
786,446,436,446
787,285,141,141
788,319,601,319
789,464,120,464
790,710,619,710
791,595,323,323
792,490,92,490
793,414,628,628
794,103,417,417
795,108,337,337
796,490,48,490
797,429,532,429
798,447,257,257
799,695,531,695
800,615,13,615
801,231,239,231
802,47,445,445
803,677,445,445
804,427,654,427
805,281,219,281
806,264,472,264
807,681,39,681
808,267,422,267
809,142,300,142
810,576,327,576
811,543,214,214
812,15,336,15
813,474,187,474
814,119,633,119
815,199,650,650
816,466,109,466
817,117,263,117
818,499,198,198
819,691,79,691
820,497,450,497
821,259,544,259
822,282,137,282
823,383,356,383
824,551,662,662
825,354,286,286
826,131,107,107
827,310,248,310
828,10,149,149
829,510,443,510
830,490,117,490
831,435,196,196
832,472,206,472
